method,cn2,distance,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_achieved_occlusion
A1_MASK_ULS,1e-15,750.0,0.3,160,1.0,1.0,1.0,0.0,0.716183519923752,0.3001330714122149
A1_MASK_ULS,1e-15,750.0,0.4,160,1.0,1.0,1.0,0.0,0.663048873788736,0.40011575780696884
A1_MASK_ULS,1e-15,1000.0,0.0,320,1.0,1.0,1.0,0.0,0.9187882564992836,0.0
A1_MASK_ULS,1e-15,1000.0,0.1,320,1.0,1.0,1.0,0.0,0.855486958556439,0.10011263561141978
A1_MASK_ULS,1e-15,1000.0,0.2,320,1.0,1.0,1.0,0.0,0.7330310706641253,0.20008550887919602
A1_MASK_ULS,1e-15,1000.0,0.3,320,1.0,1.0,1.0,0.0,0.6353401815875312,0.30007919634518954
A1_MASK_ULS,1e-15,1000.0,0.4,320,1.0,1.0,1.0,0.0,0.5961889925416278,0.4000575640954782
A1_MASK_ULS,2.5e-15,250.0,0.0,160,1.0,1.0,1.0,0.0,0.9523443958214802,0.0
A1_MASK_ULS,2.5e-15,250.0,0.1,160,1.0,1.0,1.0,0.0,0.8480213822969886,0.10021763469225478
A1_MASK_ULS,2.5e-15,250.0,0.2,160,1.0,1.0,1.0,0.0,0.7017924029408852,0.20022618251377616
A1_MASK_ULS,2.5e-15,250.0,0.3,160,1.0,1.0,1.0,0.0,0.6107125794486816,0.3002079230830121
A1_MASK_ULS,2.5e-15,250.0,0.4,160,1.0,1.0,1.0,0.0,0.5797815094871078,0.40021992373957715
A1_MASK_ULS,2.5e-15,500.0,0.0,320,1.0,1.0,1.0,0.0,0.9243796285399861,0.0
A1_MASK_ULS,2.5e-15,500.0,0.1,320,1.0,1.0,1.0,0.0,0.9010856471341875,0.10018982961183513
A1_MASK_ULS,2.5e-15,500.0,0.2,320,1.0,1.0,1.0,0.0,0.822346266159594,0.20015356291159328
A1_MASK_ULS,2.5e-15,500.0,0.3,320,1.0,1.0,1.0,0.0,0.742774326969681,0.3001660528964817
A1_MASK_ULS,2.5e-15,500.0,0.4,320,1.0,1.0,1.0,0.0,0.6817816976951345,0.40015708262695676
A1_MASK_ULS,2.5e-15,750.0,0.0,160,1.0,1.0,1.0,0.0,0.9269709767564098,0.0
A1_MASK_ULS,2.5e-15,750.0,0.1,160,1.0,1.0,1.0,0.0,0.8887807737219422,0.10007496795095686
A1_MASK_ULS,2.5e-15,750.0,0.2,160,1.0,1.0,1.0,0.0,0.8255798533824269,0.20010807003570458
A1_MASK_ULS,2.5e-15,750.0,0.3,160,1.0,1.0,1.0,0.0,0.7625254918701803,0.30014081606320325
A1_MASK_ULS,2.5e-15,750.0,0.4,160,1.0,1.0,1.0,0.0,0.7063213155621119,0.4001446988617932
A1_MASK_ULS,2.5e-15,1000.0,0.0,320,1.0,1.0,1.0,0.0,0.8766189878125772,0.0
A1_MASK_ULS,2.5e-15,1000.0,0.1,320,1.0,1.0,1.0,0.0,0.8011166128630055,0.10009158838275015
A1_MASK_ULS,2.5e-15,1000.0,0.2,320,1.0,1.0,1.0,0.0,0.6689212631696075,0.20007879814409604
A1_MASK_ULS,2.5e-15,1000.0,0.3,320,1.0,1.0,1.0,0.0,0.5841834002011425,0.30009200845354267
A1_MASK_ULS,2.5e-15,1000.0,0.4,320,1.0,1.0,1.0,0.0,0.5585500038309377,0.40007709874808006
A1_MASK_ULS,5e-15,250.0,0.0,160,1.0,1.0,1.0,0.0,0.9410754429222561,0.0
A1_MASK_ULS,5e-15,250.0,0.1,160,1.0,1.0,1.0,0.0,0.8087624795768091,0.10022191630121888
A1_MASK_ULS,5e-15,250.0,0.2,160,1.0,1.0,1.0,0.0,0.6502021893652097,0.2001505620679298
A1_MASK_ULS,5e-15,250.0,0.3,160,1.0,1.0,1.0,0.0,0.5615714180833488,0.30021104980501523
A1_MASK_ULS,5e-15,250.0,0.4,160,1.0,1.0,1.0,0.0,0.54909911428862,0.40018499379149397
A1_MASK_ULS,5e-15,500.0,0.0,320,1.0,1.0,1.0,0.0,0.8946557542596502,0.0
A1_MASK_ULS,5e-15,500.0,0.1,320,1.0,1.0,1.0,0.0,0.8243447376193285,0.1001756083998839
A1_MASK_ULS,5e-15,500.0,0.2,320,1.0,1.0,1.0,0.0,0.7029599901942541,0.20017544268240126
A1_MASK_ULS,5e-15,500.0,0.3,320,1.0,1.0,1.0,0.0,0.6133475520021812,0.30012221775990283
A1_MASK_ULS,5e-15,500.0,0.4,320,1.0,1.0,1.0,0.0,0.5751977224524302,0.4001512657343465
A1_MASK_ULS,5e-15,750.0,0.0,160,1.0,1.0,1.0,0.0,0.883431997588638,0.0
A1_MASK_ULS,5e-15,750.0,0.1,160,1.0,1.0,1.0,0.0,0.8358218499200541,0.10011664414316612
A1_MASK_ULS,5e-15,750.0,0.2,160,1.0,1.0,1.0,0.0,0.7430159316140885,0.20014996839714505
A1_MASK_ULS,5e-15,750.0,0.3,160,1.0,1.0,1.0,0.0,0.6598189966418889,0.3000849897001537
A1_MASK_ULS,5e-15,750.0,0.4,160,1.0,1.0,1.0,0.0,0.6124134913378796,0.40011598427778006
A1_MASK_ULS,5e-15,1000.0,0.0,320,1.0,1.0,1.0,0.0,0.6874452833640206,0.0
A1_MASK_ULS,5e-15,1000.0,0.1,320,1.0,1.0,1.0,0.0,0.6937734765301524,0.1000828536518545
A1_MASK_ULS,5e-15,1000.0,0.2,320,1.0,1.0,1.0,0.0,0.6239984397884132,0.20008029922465545
A1_MASK_ULS,5e-15,1000.0,0.3,320,0.971875,1.0,0.971875,0.028125,0.551931605632326,0.3000717603632508
A1_MASK_ULS,5e-15,1000.0,0.4,320,0.925,1.0,0.925,0.075,0.5097553069205383,0.4000816135636055
A1_MASK_ULS,1e-14,250.0,0.0,160,1.0,1.0,1.0,0.0,0.9443624936123769,0.0
A1_MASK_ULS,1e-14,250.0,0.1,160,1.0,1.0,1.0,0.0,0.8777069162320921,0.1002717810630263
A1_MASK_ULS,1e-14,250.0,0.2,160,1.0,1.0,1.0,0.0,0.7831365909507866,0.20021712892731774
A1_MASK_ULS,1e-14,250.0,0.3,160,1.0,1.0,1.0,0.0,0.7034862042056649,0.300191939187145
A1_MASK_ULS,1e-14,250.0,0.4,160,1.0,1.0,1.0,0.0,0.6515468481902696,0.40024017203181356
A1_MASK_ULS,1e-14,500.0,0.0,320,1.0,1.0,1.0,0.0,0.8261449867628041,0.0
